,0,1,2,3
129,304.4839,243.06119,405.1765,290.14096
130,314.42657,232.75012,363.2459,256.99768
131,297.8873,245.85208,376.30753,290.50253
132,311.7961,242.05678,354.67947,263.39166
133,283.62354,227.89807,354.94086,260.0064
134,305.99933,271.18835,408.58118,322.88287
135,302.67957,125.1022,468.16406,154.30234
136,306.1005,250.96327,353.11923,274.76755
137,317.2667,441.80576,456.9612,508.0729
138,370.45,514.99304,477.74933,559.0593
139,384.38327,453.16672,488.08926,486.8552
140,313.81265,132.66902,420.04593,182.09706
141,282.37604,602.8913,340.8833,640.5263
142,292.13455,446.6542,441.1984,506.98416
143,310.83377,207.59415,365.62894,237.37595
144,370.79047,524.164,487.50677,574.0035
145,308.15265,237.97719,359.46448,265.43225
146,301.597,262.5603,347.0313,288.52753
147,284.63254,707.8687,315.63382,750.4737
148,297.77072,689.8589,350.16684,721.62463
149,313.1758,673.5027,410.2816,720.1223
150,302.93933,252.5203,355.32056,284.12473
151,300.75897,649.2353,510.7237,687.9953
152,280.453,238.41531,379.7735,279.8259
153,281.21457,187.89429,375.81827,238.55148
154,305.49243,673.32544,389.875,713.0925
155,338.47302,396.24866,486.57043,461.7516
156,334.87598,377.44946,487.32635,440.10986
157,312.68774,648.2718,450.50342,692.435
158,315.25134,464.67563,456.28357,526.4091
159,324.27063,105.18664,428.1129,161.84937
160,298.92795,200.39914,375.76236,250.10931
161,294.77185,627.6995,342.07672,659.8488
162,375.97095,487.74966,484.50757,527.75214
163,281.30307,160.51035,363.68967,203.69864
164,290.94467,279.76178,348.99295,318.42004
165,281.46738,205.71432,381.2236,247.67279
166,296.91055,251.57967,361.19485,293.2916
167,288.58957,255.09341,386.0037,289.13223
168,278.0806,397.72568,380.61862,456.56985
169,333.38812,604.19293,445.3828,657.592
170,319.89505,288.28345,448.74503,349.10834
171,273.45856,428.99402,386.4638,493.02606
172,288.6797,253.37051,364.1573,285.59708
173,334.90594,389.896,455.1596,456.15155
174,268.63385,714.30365,300.3302,763.64325
175,287.86102,288.30704,341.93707,325.5842
176,296.7733,702.7873,371.98148,742.22394
177,285.20374,111.9381,342.13953,155.42267
178,304.39944,226.53035,349.88345,245.756
179,295.48434,288.10583,379.7238,336.81622
180,288.54926,585.5298,345.38904,628.094
181,287.83618,276.9094,373.38104,322.22165
182,307.01633,305.20496,495.62296,355.48938
183,325.3984,724.59467,424.42056,770.07086
184,304.64,227.87288,380.88623,272.5702
185,368.98874,501.21692,481.48215,541.3707
186,306.08124,429.9819,444.03973,492.15836
187,301.54892,653.5749,351.66238,682.3819
188,380.66473,477.64783,485.46777,512.1276
189,343.18793,771.9795,521.28357,802.19006
190,294.3467,766.26935,529.76733,803.0179
191,326.10812,619.19617,438.54007,670.6771
192,287.4224,616.6322,339.57016,651.9054
193,281.58612,702.1031,335.2306,737.01447
194,316.2774,219.46478,419.85345,268.06335
195,276.55902,230.63454,356.23663,268.38608
196,309.92474,675.15283,356.62286,702.19934
197,333.9198,435.34143,469.9397,485.11542
198,372.93466,726.185,488.1121,775.0805
199,279.88223,177.67232,379.91837,222.72649
200,276.45557,264.19275,375.0157,304.93475
201,291.0127,224.32869,384.77655,259.7227
202,270.06027,379.58655,377.038,446.30408
203,316.9514,204.09247,501.17233,277.80103
204,294.58423,241.42963,356.0249,280.4319
205,273.13394,122.99398,372.2762,172.3401
206,316.97723,336.69284,447.30084,403.5757
207,345.97775,313.95496,473.85477,374.18445
208,278.4151,139.17572,388.5362,191.92715
209,284.8419,418.93524,378.63016,481.59918
210,273.27057,704.42096,332.802,743.821
211,310.15784,416.08273,439.0617,471.81387
212,273.96118,259.37616,351.99036,300.8861
213,292.34015,699.25854,342.34265,736.4768
214,313.6566,564.3501,497.72934,649.3994
215,360.35498,553.48975,473.1317,612.1117
216,279.2046,277.06342,352.06226,323.4729
217,311.04926,627.73486,497.7292,695.9116
